epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1267.95,0.37158,0.3536,0.91583,0.92331,0.9896,0.98552,0.84438,0.62852,0.43721,1.03454,4.02084e-05,4.02084e-05,4.02084e-05
87,1282.46,0.33741,0.35033,0.90521,0.90601,1,0.98661,0.85378,0.63441,0.4298,1.0414,3.91966e-05,3.91966e-05,3.91966e-05
88,1296.95,0.34977,0.35942,0.89725,0.90687,0.9863,0.98105,0.84409,0.62653,0.44336,1.02442,3.81899e-05,3.81899e-05,3.81899e-05
89,1311.85,0.32564,0.33757,0.89464,0.90532,0.9863,0.9803,0.84551,0.61729,0.43957,1.01898,3.71885e-05,3.71885e-05,3.71885e-05
90,1326.2,0.3365,0.33893,0.89839,0.91112,0.9863,0.98225,0.84438,0.61763,0.43893,1.02583,3.61929e-05,3.61929e-05,3.61929e-05
91,1341.25,0.32398,0.31553,0.88665,0.90954,1,0.98476,0.85347,0.61772,0.43896,1.03655,3.52037e-05,3.52037e-05,3.52037e-05
92,1355.8,0.3567,0.36496,0.90887,0.90992,1,0.98169,0.84967,0.61403,0.42987,1.03969,3.42211e-05,3.42211e-05,3.42211e-05
93,1370.46,0.32716,0.33834,0.88401,0.91219,1,0.9763,0.84662,0.61195,0.43339,1.03001,3.32457e-05,3.32457e-05,3.32457e-05
94,1384.92,0.326,0.35938,0.88883,0.91017,0.9863,0.97413,0.84956,0.61019,0.44146,1.01453,3.22778e-05,3.22778e-05,3.22778e-05
95,1399.74,0.33252,0.33548,0.89884,0.9113,0.98521,0.98093,0.8492,0.6243,0.4343,1.02505,3.1318e-05,3.1318e-05,3.1318e-05
96,1414.6,0.32564,0.33149,0.88481,0.95889,0.95867,0.98564,0.8614,0.62806,0.42326,1.03588,3.03665e-05,3.03665e-05,3.03665e-05
97,1428.8,0.31666,0.3166,0.89082,0.94626,0.96489,0.98624,0.85899,0.62359,0.42956,1.04011,2.94239e-05,2.94239e-05,2.94239e-05
98,1443.74,0.32916,0.34621,0.89605,0.91008,1,0.98131,0.84828,0.6273,0.43017,1.05802,2.84906e-05,2.84906e-05,2.84906e-05
99,1458.12,0.34388,0.36716,0.88973,0.91243,0.99908,0.97856,0.84855,0.61143,0.43963,1.045,2.75668e-05,2.75668e-05,2.75668e-05
